SP,reserva_afectivo,reserva_racional,utilidad_afectivo,utilidad_racional
1,16.224,16.3332,1.0,1.0
1,16.224,16.3332,1.0,1.0
1,16.224,16.3332,0.641,0.641
2,16.224,16.3332,0.641,0.641
2,92.8478,60.4173,0.641,0.641
2,92.8478,60.4173,0.641,0.641
2,92.8478,60.4173,0.641,0.641
2,92.8478,60.4173,0.641,0.641
2,92.8478,60.4173,0.641,0.641
2,92.8478,60.4173,0.641,0.641
2,92.8478,60.4173,0.641,0.641
2,92.8478,60.4173,0.641,0.641
2,92.8478,60.4173,0.641,0.641
2,92.8478,60.4173,0.641,0.641
2,92.8478,60.4173,0.641,0.641
2,92.8478,60.4173,0.641,0.641
2,92.8478,60.4173,0.641,0.641
2,92.8478,60.4173,0.641,0.641
2,92.8478,60.4173,0.641,0.641
2,92.8478,60.4173,0.641,0.641
2,92.8478,60.4173,0.715997,0.131405
3,92.8478,60.4173,0.715997,0.131405
3,150.747,80.0491,0.715997,0.131405
3,150.747,80.0491,0.715997,0.131405
3,150.747,80.0491,0.715997,0.131405
3,150.747,80.0491,0.715997,0.131405
3,150.747,80.0491,0.715997,0.131405
3,150.747,80.0491,0.715997,0.131405
3,150.747,80.0491,0.715997,0.131405
3,150.747,80.0491,0.715997,0.131405
3,150.747,80.0491,0.715997,0.131405
3,150.747,80.0491,0.715997,0.131405
3,150.747,80.0491,0.715997,0.131405
3,150.747,80.0491,0.715997,0.131405
3,150.747,80.0491,0.715997,0.131405
3,150.747,80.0491,0.715997,0.131405
3,150.747,80.0491,0.715997,0.131405
3,150.747,80.0491,0.715997,0.131405
3,150.747,80.0491,0.715997,0.131405
3,150.747,80.0491,0.715997,0.131405
3,150.747,80.0491,0.910032,0.021419
4,150.747,80.0491,0.910032,0.021419
4,121.412,85.0047,0.910032,0.021419
4,121.412,85.0047,0.910032,0.021419
4,121.412,85.0047,0.910032,0.021419
4,121.412,85.0047,0.910032,0.021419
4,121.412,85.0047,0.910032,0.021419
4,121.412,85.0047,0.910032,0.021419
4,121.412,85.0047,1.12935,0.00441232
5,121.412,85.0047,1.12935,0.00441232
5,104.867,151.607,1.12935,0.00441232
5,104.867,151.607,1.12935,0.00441232
5,104.867,151.607,1.12935,0.00441232
5,104.867,151.607,1.12935,0.00441232
5,104.867,151.607,1.12935,0.00441232
5,104.867,151.607,1.12935,0.00441232
5,104.867,151.607,1.12935,0.00441232
5,104.867,151.607,1.12935,0.00441232
5,104.867,151.607,1.12935,0.00441232
5,104.867,151.607,1.12935,0.00441232
5,104.867,151.607,1.12935,0.00441232
5,104.867,151.607,1.12935,0.00441232
5,104.867,151.607,0.0045174,0.00484914
6,104.867,151.607,0.0045174,0.00484914
6,79.9255,55.5665,0.0045174,0.00484914
6,79.9255,55.5665,0.0045174,0.00484914
6,79.9255,55.5665,0.0045174,0.00484914
6,79.9255,55.5665,0.0045174,0.00484914
6,79.9255,55.5665,0.0045174,0.00484914
6,79.9255,55.5665,0.0045174,0.00484914
6,79.9255,55.5665,0.0045174,0.00484914
6,79.9255,55.5665,0.0045174,0.00484914
6,79.9255,55.5665,0.0045174,0.00484914
6,79.9255,55.5665,0.0045174,0.00484914
6,79.9255,55.5665,0.00504142,0.0022694
7,79.9255,55.5665,0.00504142,0.0022694
7,22.7451,24.7226,0.00504142,0.0022694
7,22.7451,24.7226,0.00504142,0.0022694
7,22.7451,24.7226,0.00504142,0.0022694
7,22.7451,24.7226,0.00504142,0.0022694
7,22.7451,24.7226,0.00504142,0.0022694
7,22.7451,24.7226,0.00504142,0.0022694
7,22.7451,24.7226,0.00504142,0.0022694
7,22.7451,24.7226,0.00504142,0.0022694
7,22.7451,24.7226,0.00504142,0.0022694
7,22.7451,24.7226,0.00504142,0.0022694
7,22.7451,24.7226,0.00231401,0.00229663
8,22.7451,24.7226,0.00231401,0.00229663
8,87.1783,131.941,0.00231401,0.00229663
8,87.1783,131.941,0.00231401,0.00229663
8,87.1783,131.941,0.00231401,0.00229663
8,87.1783,131.941,0.00231401,0.00229663
8,87.1783,131.941,0.00231401,0.00229663
8,87.1783,131.941,0.00231401,0.00229663
8,87.1783,131.941,0.00231401,0.00229663
8,87.1783,131.941,0.00231401,0.00229663
8,87.1783,131.941,0.00231401,0.00229663
8,87.1783,131.941,0.00231401,0.00229663
8,87.1783,131.941,0.00231401,0.00229663
8,87.1783,131.941,0.00231401,0.00229663
8,87.1783,131.941,0.00231401,0.00229663
8,87.1783,131.941,0.00231401,0.00229663
8,87.1783,131.941,1.85121,0.00244132
9,87.1783,131.941,1.85121,0.00244132
9,69.999,48.4897,1.85121,0.00244132
9,69.999,48.4897,1.85121,0.00244132
9,69.999,48.4897,1.85121,0.00244132
9,69.999,48.4897,1.85121,0.00244132
9,69.999,48.4897,1.85121,0.00244132
9,69.999,48.4897,1.85121,0.00244132
9,69.999,48.4897,1.85121,0.00244132
9,69.999,48.4897,1.85121,0.00244132
9,69.999,48.4897,2.00486,0.00151606
10,69.999,48.4897,2.00486,0.00151606
10,60.1937,189.768,2.00486,0.00151606
10,60.1937,189.768,2.00486,0.00151606
10,60.1937,189.768,2.00486,0.00151606
10,60.1937,189.768,2.00486,0.00151606
10,60.1937,189.768,2.00486,0.00151606
10,60.1937,189.768,2.00486,0.00151606
10,60.1937,189.768,2.00486,0.00160551
10,60.1937,189.768,2.00486,0.00160551
1,22.9597,28.2906,1.0,1.0
1,22.9597,28.2906,1.0,1.0
1,22.9597,28.2906,1.0,1.0
1,22.9597,28.2906,1.0,1.0
1,22.9597,28.2906,1.0,1.0
1,22.9597,28.2906,1.0,1.0
1,22.9597,28.2906,1.0,1.0
1,22.9597,28.2906,1.0,1.0
1,22.9597,28.2906,1.0,1.0
1,22.9597,28.2906,1.0,1.0
1,22.9597,28.2906,1.0,1.0
1,22.9597,28.2906,1.0,1.0
1,22.9597,28.2906,1.0,1.0
1,22.9597,28.2906,1.0,1.0
1,22.9597,28.2906,0.556,1.025
2,22.9597,28.2906,0.556,1.025
2,221.325,107.875,0.556,1.025
2,221.325,107.875,0.556,1.025
2,221.325,107.875,0.7784,0.109675
3,221.325,107.875,0.7784,0.109675
3,58.6932,66.8545,0.7784,0.109675
3,58.6932,66.8545,0.7784,0.109675
3,58.6932,66.8545,0.7784,0.109675
3,58.6932,66.8545,0.7784,0.109675
3,58.6932,66.8545,0.7784,0.109675
3,58.6932,66.8545,0.7784,0.109675
3,58.6932,66.8545,0.7784,0.109675
3,58.6932,66.8545,0.7784,0.109675
3,58.6932,66.8545,0.7784,0.109675
3,58.6932,66.8545,0.7784,0.109675
3,58.6932,66.8545,0.7784,0.109675
3,58.6932,66.8545,0.7784,0.109675
3,58.6932,66.8545,0.7784,0.109675
3,58.6932,66.8545,0.7784,0.109675
3,58.6932,66.8545,0.7784,0.109675
3,58.6932,66.8545,0.7784,0.109675
3,58.6932,66.8545,0.7784,0.109675
3,58.6932,66.8545,0.7784,0.109675
3,58.6932,66.8545,0.7784,0.109675
3,58.6932,66.8545,0.7784,0.109675
3,58.6932,66.8545,0.117538,0.11483
4,58.6932,66.8545,0.117538,0.11483
4,9.13972,3.70313,0.117538,0.11483
4,9.13972,3.70313,0.117538,0.11483
4,9.13972,3.70313,0.118714,0.108055
5,9.13972,3.70313,0.118714,0.108055
5,119.639,135.644,0.118714,0.108055
5,119.639,135.644,0.118714,0.108055
5,119.639,135.644,0.118714,0.108055
5,119.639,135.644,0.118714,0.108055
5,119.639,135.644,0.118714,0.108055
5,119.639,135.644,0.118714,0.108055
5,119.639,135.644,0.118714,0.108055
5,119.639,135.644,0.118714,0.108055
5,119.639,135.644,0.118714,0.108055
5,119.639,135.644,0.118714,0.108055
5,119.639,135.644,0.00273042,0.0116699
6,119.639,135.644,0.00273042,0.0116699
6,100.981,63.9889,0.00273042,0.0116699
6,100.981,63.9889,0.00273042,0.0116699
6,100.981,63.9889,0.00273042,0.0116699
6,100.981,63.9889,0.00273042,0.0116699
6,100.981,63.9889,0.00273042,0.0116699
6,100.981,63.9889,0.00273042,0.0116699
6,100.981,63.9889,0.00273042,0.0116699
6,100.981,63.9889,0.00273042,0.0116699
6,100.981,63.9889,0.00273042,0.0116699
6,100.981,63.9889,0.00273042,0.0116699
6,100.981,63.9889,0.00273042,0.0116699
6,100.981,63.9889,0.00273042,0.0116699
6,100.981,63.9889,0.00303076,0.00543818
7,100.981,63.9889,0.00303076,0.00543818
7,151.133,195.043,0.00303076,0.00543818
7,151.133,195.043,0.00303076,0.00543818
7,151.133,195.043,0.00303076,0.00543818
7,151.133,195.043,0.00303076,0.00543818
7,151.133,195.043,0.00303076,0.00543818
7,151.133,195.043,0.00303076,0.00543818
7,151.133,195.043,0.00303076,0.00543818
7,151.133,195.043,0.00303076,0.00543818
7,151.133,195.043,0.00303076,0.00543818
7,151.133,195.043,0.00303076,0.00543818
7,151.133,195.043,0.00303076,0.00543818
7,151.133,195.043,0.00303076,0.00543818
7,151.133,195.043,0.00303076,0.00543818
7,151.133,195.043,0.00303076,0.00543818
7,151.133,195.043,0.00303076,0.00543818
7,151.133,195.043,0.00303076,0.00543818
7,151.133,195.043,0.00303076,0.00543818
7,151.133,195.043,0.00303076,0.00543818
7,151.133,195.043,0.00303076,0.00543818
7,151.133,195.043,0.00303076,0.00543818
7,151.133,195.043,0.00303076,0.00543818
7,151.133,195.043,0.00303076,0.00543818
7,151.133,195.043,9.09229,0.00591674
8,151.133,195.043,9.09229,0.00591674
8,72.9893,31.1484,9.09229,0.00591674
8,72.9893,31.1484,9.09229,0.00591674
8,72.9893,31.1484,9.09229,0.00591674
8,72.9893,31.1484,9.09229,0.00591674
8,72.9893,31.1484,9.09229,0.00591674
8,72.9893,31.1484,9.09229,0.00591674
8,72.9893,31.1484,9.09229,0.00591674
8,72.9893,31.1484,9.09229,0.00591674
8,72.9893,31.1484,9.09229,0.00591674
8,72.9893,31.1484,9.09229,0.00591674
8,72.9893,31.1484,9.60146,0.00429555
9,72.9893,31.1484,9.60146,0.00429555
9,158.965,200.158,9.60146,0.00429555
9,158.965,200.158,9.60146,0.00429555
9,158.965,200.158,9.60146,0.00429555
9,158.965,200.158,9.60146,0.00429555
9,158.965,200.158,9.60146,0.00429555
9,158.965,200.158,9.60146,0.00429555
9,158.965,200.158,9.60146,0.00429555
9,158.965,200.158,9.60146,0.00429555
9,158.965,200.158,9.60146,0.00429555
9,158.965,200.158,9.60146,0.00429555
9,158.965,200.158,9.60146,0.00429555
9,158.965,200.158,9.60146,0.00429555
9,158.965,200.158,5.76087,0.0046349
10,158.965,200.158,5.76087,0.0046349
10,189.181,112.808,5.76087,0.0046349
10,189.181,112.808,5.76087,0.0046349
10,189.181,112.808,5.76087,0.0046349
10,189.181,112.808,5.76087,0.0046349
10,189.181,112.808,5.76087,0.0046349
10,189.181,112.808,5.76087,0.0046349
10,189.181,112.808,5.76087,0.0046349
10,189.181,112.808,5.76087,0.0046349
10,189.181,112.808,5.76087,0.0046349
10,189.181,112.808,5.76087,0.0046349
10,189.181,112.808,5.76087,0.0046349
10,189.181,112.808,5.76087,0.0046349
10,189.181,112.808,5.76087,0.0046349
10,189.181,112.808,5.76087,0.0046349
10,189.181,112.808,6.63653,0.00174272
10,189.181,112.808,6.63653,0.00174272
1,19.2158,19.9711,1.0,1.0
1,19.2158,19.9711,1.0,1.0
1,19.2158,19.9711,0.734,0.734
2,19.2158,19.9711,0.734,0.734
2,110.84,72.8398,0.734,0.734
2,110.84,72.8398,0.734,0.734
2,110.84,72.8398,0.734,0.734
2,110.84,72.8398,0.734,0.734
2,110.84,72.8398,0.79272,0.245156
3,110.84,72.8398,0.79272,0.245156
3,208.353,141.453,0.79272,0.245156
3,208.353,141.453,0.79272,0.245156
3,208.353,141.453,0.79272,0.245156
3,208.353,141.453,0.79272,0.245156
3,208.353,141.453,0.79272,0.245156
3,208.353,141.453,0.79272,0.245156
3,208.353,141.453,0.79272,0.245156
3,208.353,141.453,0.79272,0.245156
3,208.353,141.453,0.79272,0.245156
3,208.353,141.453,0.79272,0.245156
3,208.353,141.453,0.79272,0.245156
3,208.353,141.453,0.79272,0.245156
3,208.353,141.453,0.79272,0.245156
3,208.353,141.453,0.79272,0.245156
3,208.353,141.453,0.79272,0.245156
3,208.353,141.453,0.79272,0.245156
3,208.353,141.453,0.79272,0.245156
3,208.353,141.453,0.79272,0.245156
3,208.353,141.453,0.936202,0.0360379
4,208.353,141.453,0.936202,0.0360379
4,183.471,129.7,0.936202,0.0360379
4,183.471,129.7,0.936202,0.0360379
4,183.471,129.7,0.936202,0.0360379
4,183.471,129.7,0.936202,0.0360379
4,183.471,129.7,0.936202,0.0360379
4,183.471,129.7,0.936202,0.0360379
4,183.471,129.7,0.936202,0.0360379
4,183.471,129.7,0.936202,0.0360379
4,183.471,129.7,0.936202,0.0360379
4,183.471,129.7,0.936202,0.0360379
4,183.471,129.7,0.936202,0.0360379
4,183.471,129.7,0.936202,0.0360379
4,183.471,129.7,0.936202,0.0360379
4,183.471,129.7,0.936202,0.0360379
4,183.471,129.7,0.936202,0.0360379
4,183.471,129.7,0.936202,0.0360379
4,183.471,129.7,1.13468,0.00879326
5,183.471,129.7,1.13468,0.00879326
5,75.9719,78.0603,1.13468,0.00879326
5,75.9719,78.0603,1.13468,0.00879326
5,75.9719,78.0603,1.13468,0.00879326
5,75.9719,78.0603,1.13468,0.00879326
5,75.9719,78.0603,1.13468,0.00879326
5,75.9719,78.0603,1.13468,0.00879326
5,75.9719,78.0603,1.13468,0.00879326
5,75.9719,78.0603,1.13468,0.00879326
5,75.9719,78.0603,1.13468,0.00879326
5,75.9719,78.0603,1.13468,0.00879326
5,75.9719,78.0603,1.13468,0.00879326
5,75.9719,78.0603,1.13468,0.00879326
5,75.9719,78.0603,1.13468,0.00879326
5,75.9719,78.0603,1.13468,0.00879326
5,75.9719,78.0603,1.13468,0.00879326
5,75.9719,78.0603,1.13468,0.00879326
5,75.9719,78.0603,1.13468,0.00879326
5,75.9719,78.0603,1.13468,0.00879326
5,75.9719,78.0603,1.13468,0.00879326
5,75.9719,78.0603,1.13468,0.00879326
5,75.9719,78.0603,1.13468,0.00879326
5,75.9719,78.0603,1.13468,0.00879326
5,75.9719,78.0603,1.13468,0.00879326
5,75.9719,78.0603,1.13468,0.00879326
5,75.9719,78.0603,0.12368,0.00904826
6,75.9719,78.0603,0.12368,0.00904826
6,172.747,190.389,0.12368,0.00904826
6,172.747,190.389,0.12368,0.00904826
6,172.747,190.389,0.12368,0.00904826
6,172.747,190.389,0.12368,0.00904826
6,172.747,190.389,0.12368,0.00904826
6,172.747,190.389,0.12368,0.00904826
6,172.747,190.389,0.12368,0.00904826
6,172.747,190.389,0.12368,0.00904826
6,172.747,190.389,0.12368,0.00904826
6,172.747,190.389,0.12368,0.00904826
6,172.747,190.389,0.12368,0.00904826
6,172.747,190.389,0.12368,0.00904826
6,172.747,190.389,0.12368,0.00904826
6,172.747,190.389,0.12368,0.00904826
6,172.747,190.389,0.12368,0.00904826
6,172.747,190.389,0.12368,0.00904826
6,172.747,190.389,0.00012368,0.00969973
7,172.747,190.389,0.00012368,0.00969973
7,228.38,254.67,0.00012368,0.00969973
7,228.38,254.67,0.00012368,0.00969973
7,228.38,254.67,0.00012368,0.00969973
7,228.38,254.67,0.00012368,0.00969973
7,228.38,254.67,0.00012368,0.00969973
7,228.38,254.67,0.00012368,0.00969973
7,228.38,254.67,0.00012368,0.00969973
7,228.38,254.67,0.00012368,0.00969973
7,228.38,254.67,0.00012368,0.00969973
7,228.38,254.67,0.00012368,0.00969973
7,228.38,254.67,0.00012368,0.00969973
7,228.38,254.67,0.00012368,0.00969973
7,228.38,254.67,0.00012368,0.00969973
7,228.38,254.67,0.00012368,0.00969973
7,228.38,254.67,0.00012368,0.00969973
7,228.38,254.67,0.00012368,0.00969973
7,228.38,254.67,0.00012368,0.00969973
7,228.38,254.67,0.00012368,0.00969973
7,228.38,254.67,0.00012368,0.00969973
7,228.38,254.67,0.00012368,0.00969973
7,228.38,254.67,0.0,0.00101847
8,228.38,254.67,0.0,0.00101847
8,224.137,228.936,0.0,0.00101847
8,224.137,228.936,0.0,0.00101847
8,224.137,228.936,0.0,0.00101847
8,224.137,228.936,0.0,0.00101847
8,224.137,228.936,0.0,0.00101847
8,224.137,228.936,0.0,0.00101847
8,224.137,228.936,0.0,0.00101847
8,224.137,228.936,0.0,0.00101847
8,224.137,228.936,0.0,0.000423684
9,224.137,228.936,0.0,0.000423684
9,267.634,433.398,0.0,0.000423684
9,267.634,433.398,0.0,0.000423684
9,267.634,433.398,0.0,0.000423684
9,267.634,433.398,0.0,0.000423684
9,267.634,433.398,0.0,0.000423684
9,267.634,433.398,0.0,0.000423684
9,267.634,433.398,0.0,0.000423684
9,267.634,433.398,0.0,0.000423684
9,267.634,433.398,0.0,0.000423684
9,267.634,433.398,0.0,0.000423684
9,267.634,433.398,0.0,0.000423684
9,267.634,433.398,0.0,0.000423684
9,267.634,433.398,0.0,0.000423684
9,267.634,433.398,0.0,0.000423684
9,267.634,433.398,0.0,0.00043809
10,267.634,433.398,0.0,0.00043809
10,269.927,86.8979,0.0,0.00043809
10,269.927,86.8979,0.0,0.00043809
10,269.927,86.8979,0.0,0.000426261
10,269.927,86.8979,0.0,0.000426261
1,58.5295,39.3534,1.0,1.0
1,58.5295,39.3534,1.0,1.0
1,58.5295,39.3534,1.0,1.0
1,58.5295,39.3534,1.0,1.0
1,58.5295,39.3534,1.0,1.0
1,58.5295,39.3534,1.0,1.0
1,58.5295,39.3534,1.0,1.0
1,58.5295,39.3534,1.0,1.0
1,58.5295,39.3534,1.0,1.0
1,58.5295,39.3534,1.0,1.0
1,58.5295,39.3534,1.053,0.289
2,58.5295,39.3534,1.053,0.289
2,215.738,69.7754,1.053,0.289
2,215.738,69.7754,1.053,0.289
2,215.738,69.7754,1.053,0.289
2,215.738,69.7754,1.053,0.289
2,215.738,69.7754,1.053,0.289
2,215.738,69.7754,1.053,0.289
2,215.738,69.7754,1.053,0.289
2,215.738,69.7754,1.053,0.289
2,215.738,69.7754,1.32994,0.038437
3,215.738,69.7754,1.32994,0.038437
3,76.6393,25.6247,1.32994,0.038437
3,76.6393,25.6247,1.32994,0.038437
3,76.6393,25.6247,1.32994,0.038437
3,76.6393,25.6247,1.32994,0.038437
3,76.6393,25.6247,1.32994,0.038437
3,76.6393,25.6247,1.32994,0.038437
3,76.6393,25.6247,1.42436,0.0203716
4,76.6393,25.6247,1.42436,0.0203716
4,212.624,96.1932,1.42436,0.0203716
4,212.624,96.1932,1.42436,0.0203716
4,212.624,96.1932,1.42436,0.0203716
4,212.624,96.1932,1.42436,0.0203716
4,212.624,96.1932,1.42436,0.0203716
4,212.624,96.1932,1.42436,0.0203716
4,212.624,96.1932,1.42436,0.0203716
4,212.624,96.1932,1.42436,0.0203716
4,212.624,96.1932,1.42436,0.0203716
4,212.624,96.1932,1.42436,0.0203716
4,212.624,96.1932,1.42436,0.0203716
4,212.624,96.1932,1.42436,0.0203716
4,212.624,96.1932,1.42436,0.0203716
4,212.624,96.1932,1.42436,0.0203716
4,212.624,96.1932,1.42436,0.0203716
4,212.624,96.1932,1.42436,0.0203716
4,212.624,96.1932,1.42436,0.0203716
4,212.624,96.1932,1.42436,0.0203716
4,212.624,96.1932,1.42436,0.0203716
4,212.624,96.1932,1.42436,0.0203716
4,212.624,96.1932,1.42436,0.0203716
4,212.624,96.1932,1.42436,0.0203716
4,212.624,96.1932,1.78046,0.00211865
5,212.624,96.1932,1.78046,0.00211865
5,204.335,87.926,1.78046,0.00211865
5,204.335,87.926,1.78046,0.00211865
5,204.335,87.926,1.78046,0.00211865
5,204.335,87.926,1.78046,0.00211865
