SP,N,Tipo,ID_Agente,Reserva,Utilidad
1,0,Afectivo,1,85.3,0.0
1,0,Racional,2,107.0,0.0
1,0,Afectivo,1,85.3,0.0
1,0,Racional,2,107.0,0.0
1,0,Afectivo,1,85.3,0.0
1,0,Racional,2,107.0,0.0
1,0,Afectivo,1,85.3,0.0
1,0,Racional,2,107.0,0.0
1,0,Afectivo,1,85.3,0.0
1,0,Racional,2,107.0,0.0
1,0,Afectivo,1,85.3,0.0
1,0,Racional,2,107.0,0.0
1,0,Afectivo,1,85.3,0.0
1,0,Racional,2,107.0,0.0
1,0,Afectivo,1,85.3,0.0
1,0,Racional,2,107.0,0.0
1,0,Afectivo,1,85.3,0.0
1,0,Racional,2,107.0,0.0
1,0,Afectivo,1,85.3,0.0
1,0,Racional,2,107.0,0.0
1,0,Afectivo,1,85.3,0.0
1,0,Racional,2,107.0,0.0
1,0,Afectivo,1,85.3,0.0
1,0,Racional,2,107.0,0.0
1,0,Afectivo,1,85.3,0.0
1,0,Racional,2,107.0,0.0
1,0,Afectivo,1,85.3,0.0
1,0,Racional,2,107.0,0.0
1,0,Afectivo,1,85.3,0.0
1,0,Racional,2,107.0,0.0
1,0,Afectivo,1,85.3,0.0
1,0,Racional,2,107.0,0.0
1,0,Afectivo,1,85.3,0.0
1,0,Racional,2,107.0,0.0
1,0,Afectivo,1,85.3,0.0
1,0,Racional,2,107.0,0.0
1,0,Afectivo,1,85.3,0.0
1,0,Racional,2,107.0,0.0
1,0,Afectivo,1,85.3,0.0
1,0,Racional,2,107.0,0.0
1,0,Afectivo,1,85.3,0.0
1,0,Racional,2,107.0,0.0
1,0,Afectivo,1,85.3,0.0
1,0,Racional,2,107.0,0.0
1,0,Afectivo,1,85.3,0.0
1,0,Racional,2,107.0,0.0
1,0,Afectivo,1,85.3,0.0
1,0,Racional,2,107.0,0.0
1,0,Afectivo,1,85.3,0.0
1,0,Racional,2,107.0,0.0
1,0,Afectivo,1,85.3,0.0
1,0,Racional,2,107.0,0.0
1,0,Afectivo,1,85.3,0.0
1,0,Racional,2,107.0,0.0
1,0,Afectivo,1,85.3,0.0
1,0,Racional,2,107.0,0.0
1,0,Afectivo,1,85.3,0.0
1,0,Racional,2,107.0,0.0
1,0,Afectivo,1,85.3,0.0
1,0,Racional,2,107.0,0.0
1,1,Afectivo,1,85.3,0.0
1,1,Racional,2,107.0,0.017
2,1,Afectivo,1,85.3,0.0
2,1,Racional,2,107.0,0.017
2,1,Afectivo,1,216.0,0.0
2,1,Racional,2,114.0,0.017
2,1,Afectivo,1,216.0,0.0
2,1,Racional,2,114.0,0.017
2,1,Afectivo,1,216.0,0.0
2,1,Racional,2,114.0,0.017
2,1,Afectivo,1,216.0,0.0
2,1,Racional,2,114.0,0.017
2,1,Afectivo,1,216.0,0.0
2,1,Racional,2,114.0,0.017
2,1,Afectivo,1,216.0,0.0
2,1,Racional,2,114.0,0.017
2,1,Afectivo,1,216.0,0.0
2,1,Racional,2,114.0,0.017
2,1,Afectivo,1,216.0,0.0
2,1,Racional,2,114.0,0.017
2,1,Afectivo,1,216.0,0.0
2,1,Racional,2,114.0,0.017
2,1,Afectivo,1,216.0,0.0
2,1,Racional,2,114.0,0.017
2,2,Afectivo,1,216.0,0.025
2,2,Racional,2,114.0,0.017
3,2,Afectivo,1,216.0,0.025
3,2,Racional,2,114.0,0.017
3,2,Afectivo,1,39.3,0.025
3,2,Racional,2,26.4,0.017
3,2,Afectivo,1,39.3,0.025
3,2,Racional,2,26.4,0.017
3,3,Afectivo,1,39.3,0.018
3,3,Racional,2,26.4,0.017
4,3,Afectivo,1,39.3,0.018
4,3,Racional,2,26.4,0.017
4,3,Afectivo,1,80.3,0.018
4,3,Racional,2,60.4,0.017
4,3,Afectivo,1,80.3,0.018
4,3,Racional,2,60.4,0.017
4,4,Afectivo,1,80.3,0.011
4,4,Racional,2,60.4,0.017
5,4,Afectivo,1,80.3,0.011
5,4,Racional,2,60.4,0.017
5,4,Afectivo,1,80.1,0.011
5,4,Racional,2,60.3,0.017
5,4,Afectivo,1,80.1,0.011
5,4,Racional,2,60.3,0.017
5,4,Afectivo,1,80.1,0.011
5,4,Racional,2,60.3,0.017
5,4,Afectivo,1,80.1,0.011
5,4,Racional,2,60.3,0.017
5,4,Afectivo,1,80.1,0.011
5,4,Racional,2,60.3,0.017
5,4,Afectivo,1,80.1,0.011
5,4,Racional,2,60.3,0.017
5,4,Afectivo,1,80.1,0.011
5,4,Racional,2,60.3,0.017
5,4,Afectivo,1,80.1,0.011
5,4,Racional,2,60.3,0.017
5,4,Afectivo,1,80.1,0.011
5,4,Racional,2,60.3,0.017
5,4,Afectivo,1,80.1,0.011
5,4,Racional,2,60.3,0.017
5,4,Afectivo,1,80.1,0.011
5,4,Racional,2,60.3,0.017
5,4,Afectivo,1,80.1,0.011
5,4,Racional,2,60.3,0.017
5,4,Afectivo,1,80.1,0.011
5,4,Racional,2,60.3,0.017
5,4,Afectivo,1,80.1,0.011
5,4,Racional,2,60.3,0.017
5,4,Afectivo,1,80.1,0.011
5,4,Racional,2,60.3,0.017
5,4,Afectivo,1,80.1,0.011
5,4,Racional,2,60.3,0.017
5,4,Afectivo,1,80.1,0.011
5,4,Racional,2,60.3,0.017
5,4,Afectivo,1,80.1,0.011
5,4,Racional,2,60.3,0.017
5,4,Afectivo,1,80.1,0.011
5,4,Racional,2,60.3,0.017
5,4,Afectivo,1,80.1,0.011
5,4,Racional,2,60.3,0.017
5,4,Afectivo,1,80.1,0.011
5,4,Racional,2,60.3,0.017
5,4,Afectivo,1,80.1,0.011
5,4,Racional,2,60.3,0.017
5,5,Afectivo,1,80.1,0.024
5,5,Racional,2,60.3,0.017
6,5,Afectivo,1,80.1,0.024
6,5,Racional,2,60.3,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,5,Afectivo,1,195.0,0.024
6,5,Racional,2,174.0,0.017
6,6,Afectivo,1,195.0,0.059
6,6,Racional,2,174.0,0.017
7,6,Afectivo,1,195.0,0.059
7,6,Racional,2,174.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
7,6,Racional,2,267.0,0.017
7,6,Afectivo,1,150.0,0.059
