SP,N,Tipo,ID_Agente,Reserva,Utilidad,Ansiedad,Frustracion
1,0,Afectivo,1,158.0,0.0,0.101095,0.0
1,0,Afectivo,2,176.0,0.0,0.136051,0.0
1,0,Racional,3,302.0,0.0,,
1,0,Racional,4,162.0,0.0,,
1,0,Afectivo,1,158.0,0.0,0.101095,0.0
1,0,Afectivo,2,176.0,0.0,0.136051,0.0
1,0,Racional,3,302.0,0.0,,
1,0,Racional,4,162.0,0.0,,
1,0,Afectivo,1,158.0,0.0,0.101095,0.0
1,0,Afectivo,2,176.0,0.0,0.252566,0.0
1,0,Racional,3,302.0,0.0,,
1,0,Racional,4,162.0,0.0,,
1,0,Afectivo,1,158.0,0.0,0.101095,0.0
1,0,Afectivo,2,176.0,0.0,0.252566,0.0
1,0,Racional,3,302.0,0.0,,
1,0,Racional,4,162.0,0.0,,
1,0,Afectivo,1,158.0,0.0,0.101095,0.0
1,0,Afectivo,2,176.0,0.0,0.252566,0.0
1,0,Racional,3,302.0,0.0,,
1,0,Racional,4,162.0,0.0,,
1,0,Afectivo,1,158.0,0.0,0.101095,0.0
1,0,Afectivo,2,176.0,0.0,0.252566,0.0
1,0,Racional,3,302.0,0.0,,
1,0,Racional,4,162.0,0.0,,
1,1,Afectivo,1,158.0,0.0,0.101095,0.15
1,1,Afectivo,2,176.0,0.0,0.252566,0.151
1,1,Racional,3,302.0,0.032,,
1,1,Racional,4,162.0,0.0,,
2,1,Afectivo,1,158.0,0.0,0.101095,0.15
2,1,Afectivo,2,176.0,0.0,0.252566,0.151
2,1,Racional,3,302.0,0.032,,
2,1,Racional,4,162.0,0.0,,
2,1,Afectivo,1,370.0,0.0,0.144778,0.15
2,1,Afectivo,2,384.0,0.0,0.13333,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,0.144778,0.15
2,1,Afectivo,2,384.0,0.0,0.13333,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,0.269301,0.15
2,1,Afectivo,2,384.0,0.0,0.247605,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,0.269301,0.15
2,1,Afectivo,2,384.0,0.0,0.247605,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,0.409284,0.15
2,1,Afectivo,2,384.0,0.0,0.362868,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,0.409284,0.15
2,1,Afectivo,2,384.0,0.0,0.362868,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,0.551191,0.15
2,1,Afectivo,2,384.0,0.0,0.490154,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,0.551191,0.15
2,1,Afectivo,2,384.0,0.0,0.490154,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,0.651459,0.15
2,1,Afectivo,2,384.0,0.0,0.626567,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,0.651459,0.15
2,1,Afectivo,2,384.0,0.0,0.626567,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,0.772856,0.15
2,1,Afectivo,2,384.0,0.0,0.734544,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,0.772856,0.15
2,1,Afectivo,2,384.0,0.0,0.734544,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,0.890026,0.15
2,1,Afectivo,2,384.0,0.0,0.865053,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,0.890026,0.15
2,1,Afectivo,2,384.0,0.0,0.865053,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,0.983903,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,0.983903,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
2,1,Racional,3,243.0,0.032,,
2,1,Racional,4,52.1,0.0,,
2,1,Afectivo,1,370.0,0.0,1.0,0.15
2,1,Afectivo,2,384.0,0.0,1.0,0.151
